min_score,netlot_th,adx_th,ars_mesafe_th,Net Profit,Trades,Win Rate,Profit Factor
5,20,15,0.1,2727.0,4484,32.20338983050847,1.0704450931259848
5,15,20,0.15,2724.0,4503,33.733066844326004,1.0690599330696684
5,10,20,0.25,2712.0,4861,34.43735856819585,1.0673571268906936
5,20,15,0.15,2709.0,4416,32.40489130434783,1.070578120522106
5,15,20,0.1,2699.0,4569,33.61785948785292,1.0678004421221865
5,15,20,0.25,2696.0,4423,33.61971512548044,1.069220499127041
4,5,20,0.15,2679.0,8828,36.19166289080199,1.0527206533503886
3,10,20,0.25,2654.0,8660,36.327944572748265,1.0511436995355827
3,10,15,0.15,2650.0,7102,34.73669388904534,1.0551405563994256
3,20,30,0.25,2611.0,10703,37.28861066990564,1.0457219906839912
5,15,15,0.15,2598.0,4878,33.27183271832718,1.065106255012029
5,15,15,0.1,2598.0,4952,33.15831987075929,1.0645353603100083
5,20,15,0.25,2590.0,4323,32.24612537589637,1.0683467475920305
5,5,30,0.25,2580.0,4317,33.240676395645124,1.0663273175998766
3,10,20,0.1,2580.0,9312,36.243556701030926,1.047702690209855
5,5,25,0.25,2557.0,4731,34.157683365039105,1.064183337935189
3,15,20,0.15,2555.0,8426,35.995727510087825,1.0485022210410417
3,5,20,0.15,2550.0,9572,36.28290848307564,1.0482251262363598
4,5,20,0.1,2547.0,9024,36.04831560283688,1.0494880214506384
3,20,25,0.15,2538.0,9902,36.9420319127449,1.0452721143040618
3,10,15,0.1,2528.0,7241,34.63609998618975,1.0518308935088367
3,20,25,0.1,2512.0,10086,36.73408685306365,1.0441880101322827
3,5,25,0.15,2494.0,13074,37.47131711794401,1.0408751946242727
3,15,15,0.15,2487.0,6693,34.035559539817726,1.051862201276223
4,10,15,0.15,2479.0,6689,34.26521154133652,1.0527997273753487
5,10,15,0.25,2477.0,5221,33.92070484581498,1.061041425367801
3,10,15,0.25,2458.0,6862,34.640046633634505,1.0521403419456112
3,20,25,0.25,2451.0,9529,36.771959282191204,1.0446399300622882
4,5,25,0.15,2442.0,11593,37.367376865349776,1.0427925559878035
3,15,20,0.25,2441.0,8033,35.88945599402465,1.0474514987753198
4,5,25,0.1,2419.0,11808,37.22052845528455,1.0418367346938775
5,15,15,0.25,2399.0,4778,33.08915864378401,1.0608960527985785
3,15,15,0.1,2388.0,6820,33.914956011730204,1.049121652198955
3,15,20,0.1,2386.0,8627,35.82937289903791,1.044627326288226
5,5,15,0.1,2369.0,5844,34.034907597535934,1.0553052410412047
4,15,25,0.15,2354.0,9363,36.69763964541279,1.044803958888466
3,5,20,0.1,2349.0,9796,36.16782360146999,1.043770730071181
3,5,25,0.1,2347.0,13330,37.36684171042761,1.0378915079108815
5,5,15,0.15,2339.0,5759,34.05105052960584,1.0551286886018667
4,15,25,0.25,2330.0,9009,36.57453657453657,1.0453695770698652
4,5,15,0.15,2320.0,7053,34.62356444066354,1.050063658531322
4,10,15,0.1,2303.0,6814,34.13560316994423,1.048335642026613
4,15,15,0.15,2303.0,6226,33.58496627047864,1.0493189994860372
3,15,15,0.25,2302.0,6462,33.89043639740019,1.048860211402131
4,10,20,0.15,2283.0,8208,35.58723196881092,1.0448165524822834
4,5,20,0.25,2281.0,8416,36.07414448669202,1.0458566201600257
4,10,15,0.25,2262.0,6480,34.25925925925926,1.0490906723382092
3,20,15,0.15,2250.0,6202,33.456949371170595,1.0474473334598595
3,5,20,0.25,2246.0,9110,36.23490669593853,1.0435271317829458
3,5,25,0.25,2236.0,12555,37.41138988450816,1.037562155624244
4,15,25,0.1,2224.0,9527,36.35981946048074,1.0417503613734067
4,15,20,0.15,2223.0,7399,35.47776726584674,1.0445910978276132
4,10,20,0.25,2219.0,7844,35.568587455379905,1.0445985328107728
4,15,30,0.15,2212.0,10408,37.05803228285934,1.0409008542583484
4,20,15,0.15,2210.0,5714,33.04165208260413,1.0479933981931897
4,5,15,0.1,2210.0,7180,34.52646239554318,1.0471235447140603
4,20,20,0.15,2202.0,6503,35.09149623250807,1.0457206926622649
3,10,25,0.15,2198.0,12290,37.42880390561432,1.0363865114970119
4,15,20,0.25,2195.0,7081,35.545826860612905,1.0450201000902453
3,15,25,0.15,2175.0,11294,37.090490525942975,1.036997346397224
4,10,20,0.1,2170.0,8388,35.419647114926086,1.0420828081062736
4,15,30,0.25,2154.0,10038,36.999402271368794,1.040703717001455
3,10,25,0.1,2151.0,12530,37.262569832402235,1.0350965931340557
3,5,15,0.15,2145.0,7380,34.8780487804878,1.045282779877135
3,15,30,0.15,2134.0,12677,37.445767926165495,1.0346344234358518
4,15,30,0.1,2131.0,10581,36.72620735280219,1.0389159772822731
5,5,20,0.1,2126.0,5449,34.11635162415122,1.0498604563896903
3,20,15,0.25,2115.0,5991,33.29994992488733,1.0453531757944847
3,20,15,0.1,2115.0,6316,33.201393286890436,1.0439846105854216
3,20,20,0.15,2113.0,7529,35.67538849780848,1.0410817747015593
3,5,15,0.1,2087.0,7513,34.806335684812986,1.0435444833917542
3,10,30,0.1,2085.0,14113,37.51859987245802,1.0322750421820095
3,10,30,0.15,2082.0,13866,37.66046444540603,1.0326496048174634
4,15,15,0.25,2074.0,6039,33.51548269581057,1.0451635381734246
5,5,20,0.15,2070.0,5374,34.14588760699665,1.0489917637034933
4,20,20,0.1,2066.0,6629,34.816714436566606,1.0424003612034642
4,15,15,0.1,2065.0,6345,33.39637509850276,1.0435470265710671
4,5,25,0.25,2064.0,11138,37.241874663314775,1.0369376140878341
3,10,25,0.25,2063.0,11813,37.323287903157535,1.0350135777325187
