ARS_K,RVI_P,MinScore,NetLot,Net Profit,Trades,PF
0.01,21,3,20,1765.0,4528,1.037227647592331
0.0123,21,3,20,1765.0,4528,1.037227647592331
0.015,21,3,20,1765.0,4528,1.037227647592331
0.02,21,4,20,1636.0,3130,1.0378791386895114
0.015,21,4,20,1636.0,3130,1.0378791386895114
0.01,21,4,20,1636.0,3130,1.0378791386895114
0.0123,21,4,20,1636.0,3130,1.0378791386895114
0.01,14,3,30,1635.0,3142,1.0381447868791265
0.02,14,3,30,1635.0,3142,1.0381447868791265
0.015,14,3,30,1635.0,3142,1.0381447868791265
0.0123,14,3,30,1635.0,3142,1.0381447868791265
0.015,21,3,10,1631.0,5460,1.0321145174946345
0.02,21,3,10,1631.0,5460,1.0321145174946345
0.01,21,3,10,1631.0,5460,1.0321145174946345
0.0123,21,3,10,1631.0,5460,1.0321145174946345
0.01,10,4,20,1606.0,3235,1.036235644502606
0.0123,10,4,20,1606.0,3235,1.036235644502606
0.02,10,4,20,1606.0,3235,1.036235644502606
0.015,10,4,20,1606.0,3235,1.036235644502606
0.015,10,3,20,1521.0,4444,1.0315664951021086
0.02,10,3,20,1521.0,4444,1.0315664951021086
0.0123,10,3,20,1521.0,4444,1.0315664951021086
0.01,10,3,20,1521.0,4444,1.0315664951021086
0.01,10,4,30,1515.0,2525,1.037447166126999
0.0123,10,4,30,1515.0,2525,1.037447166126999
0.02,10,4,30,1515.0,2525,1.037447166126999
0.015,10,4,30,1515.0,2525,1.037447166126999
0.015,10,3,10,1474.0,5431,1.0288527414019222
0.02,10,3,10,1474.0,5431,1.0288527414019222
0.0123,10,3,10,1474.0,5431,1.0288527414019222
0.01,10,3,10,1474.0,5431,1.0288527414019222
0.01,14,3,20,1298.0,4487,1.026788846923823
0.0123,14,3,20,1298.0,4487,1.026788846923823
0.02,14,3,20,1298.0,4487,1.026788846923823
0.015,14,3,20,1298.0,4487,1.026788846923823
0.015,14,4,10,1285.0,3588,1.027815659025478
0.02,14,4,10,1285.0,3588,1.027815659025478
0.0123,14,4,10,1285.0,3588,1.027815659025478
0.01,14,4,10,1285.0,3588,1.027815659025478
0.0123,14,3,10,1176.0,5462,1.022852701127089
0.01,14,3,10,1176.0,5462,1.022852701127089
0.02,14,3,10,1176.0,5462,1.022852701127089
0.015,14,3,10,1176.0,5462,1.022852701127089
0.02,21,5,20,1122.0,2377,1.0352044178092936
0.015,21,5,20,1122.0,2377,1.0352044178092936
0.0123,21,5,20,1122.0,2377,1.0352044178092936
0.01,21,5,20,1122.0,2377,1.0352044178092936
0.015,10,5,20,1045.0,2450,1.03286990437846
0.0123,10,5,20,1045.0,2450,1.03286990437846
0.01,10,5,20,1045.0,2450,1.03286990437846
0.02,10,5,20,1045.0,2450,1.03286990437846
0.01,21,5,10,836.0,2933,1.0239514095805637
0.0123,21,5,10,836.0,2933,1.0239514095805637
0.02,21,5,10,836.0,2933,1.0239514095805637
0.015,21,5,10,836.0,2933,1.0239514095805637
0.02,14,4,20,797.0,3142,1.0179755514457125
0.015,14,4,20,797.0,3142,1.0179755514457125
0.0123,14,4,20,797.0,3142,1.0179755514457125
0.01,14,4,20,797.0,3142,1.0179755514457125
0.01,14,5,20,623.0,2381,1.019391185258964
0.0123,14,5,20,623.0,2381,1.019391185258964
0.015,14,5,20,623.0,2381,1.019391185258964
0.02,14,5,20,623.0,2381,1.019391185258964
0.02,14,5,10,150.0,2930,1.0042590647093899
0.015,14,5,10,150.0,2930,1.0042590647093899
0.01,14,5,10,150.0,2930,1.0042590647093899
0.0123,14,5,10,150.0,2930,1.0042590647093899
0.0123,10,5,10,38.0,3023,1.0010913581665182
0.01,10,5,10,38.0,3023,1.0010913581665182
0.015,10,5,10,38.0,3023,1.0010913581665182
0.02,10,5,10,38.0,3023,1.0010913581665182
