NetProfit,PF,MaxDD,Trades,SmartScore,Params
7449.0,1.196652498746007,1091.0,3164,7317.24221241094,"ARS(8,0.01) ADX(30) RVI(21) Q(5) Sc(3) NL(10)"
7417.0,1.207005302818867,1127.0,2497,7305.662094832328,"ARS(5,0.01) ADX(30) RVI(10) Q(5) Sc(4) NL(10)"
7237.0,1.2123345949593638,1010.0,2073,7299.222515574806,"ARS(5,0.01) ADX(21) RVI(10) Q(13) Sc(4) NL(20)"
7454.0,1.2063905194373685,1169.0,2481,7288.405683162704,"ARS(3,0.01) ADX(30) RVI(14) Q(5) Sc(4) NL(10)"
7212.0,1.2046596100910922,963.0,2312,7284.927979185775,"ARS(3,0.01) ADX(21) RVI(10) Q(13) Sc(4) NL(10)"
7394.0,1.2113658452918643,1155.0,2335,7276.067473670223,"ARS(8,0.01) ADX(30) RVI(14) Q(8) Sc(3) NL(20)"
7094.0,1.2098257860333048,923.0,2039,7245.0651073107065,"ARS(8,0.01) ADX(30) RVI(21) Q(8) Sc(4) NL(10)"
7197.0,1.222040539289791,1086.0,2161,7225.620901469459,"ARS(8,0.01) ADX(30) RVI(21) Q(13) Sc(3) NL(20)"
7286.0,1.165099363259387,880.0,4105,7218.46425230263,"ARS(8,0.01) ADX(14) RVI(21) Q(8) Sc(4) NL(10)"
7255.0,1.2287272612629654,1181.0,1751,7211.144054734521,"ARS(3,0.01) ADX(30) RVI(21) Q(13) Sc(4) NL(10)"
